id,chapter,page,word,mean
1,1,1,gift,재능
2,1,1,talent,재능
3,1,1,perfect,완벽한
4,1,1,complete,완전한
5,1,1,gather,모으다
6,1,1,collect,수집하다
7,1,1,act,행동하다
8,1,1,deed,행동하다
9,1,1,help,돕다
10,1,1,assist,돕다
11,1,1,goal,목표
12,1,1,purpose,목적
13,1,1,better,개선하다
14,1,1,improve,향상시키다
15,1,1,hurt,다치게 하다
16,1,1,pain,"고통, 아픔"
17,1,1,live,살다
18,1,1,alive,살아 있는
19,1,1,use,사용하다
20,1,1,utilize,이용하다
21,1,1,do,행하다
22,1,1,gain,"얻다, 이익"
23,1,1,profit,이익
24,1,1,annoy,괴롭히다
25,1,1,irritate,화나게 하다
26,1,1,delete,삭제하다
27,1,1,erase,지우다
28,1,1,stop,정지
29,1,1,quit,중지하다
30,1,1,calm,진정하다
31,1,1,quiet,"고요, 평온한"
32,1,1,start,출발
33,1,1,begin,시작되다
34,1,1,notice,"통지, 주목"
35,1,1,remark,주목
36,1,1,focus,초점
37,1,1,center,중심
38,1,1,care,걱정
39,1,1,worry,걱정
40,1,1,ask,묻다
41,1,1,inquire,질문하다
42,1,1,fulfill,만족시키다
43,1,1,satisfy,충족시키다
44,1,1,path,길
45,1,1,track,"길, 트랙"
46,1,1,risk,위험
47,1,1,peril,위험
48,1,1,trick,속이다
49,1,1,cheat,사기
50,1,1,cut down,줄이다
51,1,1,reduce,줄이다
52,1,1,sure,확실한
53,1,1,certain,확실한
54,1,1,withstand,저항하다
55,1,1,resist,저항하다
56,1,1,rate,등급
57,1,1,grade,등급
58,1,1,need,필요
59,1,1,require,요구하다
60,1,1,prove,증명하다
61,1,1,evidence,증거
62,1,1,lead,인도하다
63,1,1,guide,안내하다
64,1,1,expose,드러내다
65,1,1,reveal,드러내다
66,1,1,find,발견하다
67,1,1,detect,발견하다
68,1,1,part,부분
69,1,1,separate,분리하다
70,1,1,attract,끌다
71,1,1,pull,끌다
72,1,1,result,결과
73,1,1,outcome,결과
74,1,1,attempt,시도하다
75,1,1,try,시도하다
76,1,1,select,선택된
77,1,1,choose,선택하다
78,1,1,permit,허락하다
79,1,1,allow,허용하다
80,1,1,cover,덮개
81,1,1,wrap,덮개
82,1,1,strive,노력하다
83,1,1,struggle,노력
84,1,1,hire,고용하다
85,1,1,employ,고용하다
86,1,1,perform,행하다
87,1,1,waste,낭비하다
88,1,1,consume,다 써버리다
89,1,1,show,보이다
90,1,1,display,전시하다
91,1,1,endure,견디다
92,1,1,suffer,견디다
93,1,1,maximum,최대의
94,1,1,utmost,최대한
95,1,1,believe,믿다
96,1,1,trust,신뢰하다
97,1,1,tie,묶다
98,1,1,bind,묶다
99,1,1,mistake,잘못
100,1,1,error,잘못
101,1,1,ground,기초
102,1,1,base,기초
103,1,1,look,바라보다
104,1,1,stare,응시하다
105,1,1,big,큰
106,1,1,large,큰
107,1,1,customer,고객
108,1,1,client,고객
109,1,1,picture,그림
110,1,1,image,이미지
111,1,1,example,예
112,1,1,instance,예
113,1,1,affect,영향을 미치다
114,1,1,influence,영향을 주다
115,1,1,within,이내의
116,1,1,inside,안에
117,1,1,reside,거주하다
118,1,1,dwell,살다
119,1,1,get,받다
120,1,1,acquire,획득하다
121,1,1,smart,영리한
122,1,1,clever,똑똑한
123,1,1,attack,공격하다
124,1,1,assault,공격하다
125,1,1,rise,오르다
126,1,1,elevate,향상시키다
127,1,1,form,"형식, 틀"
128,1,1,shape,모양
129,1,1,double,두 배
130,1,1,duplicate,복사
131,1,1,people,사람들
132,1,1,mass,모임
133,1,1,home,"집, 고향"
134,1,1,domestic,"가정의, 국내의"
135,1,1,new,새로운
136,1,1,fresh,신선한
137,1,1,bare,벌거벗은
138,1,1,naked,나체의
139,1,1,job,"일, 직업"
140,1,1,business,직업
141,1,1,happen,발생하다
142,1,1,befall,발생하다
143,1,1,old,나이든
144,1,1,ancient,고대의
145,1,1,easy,쉬운
146,1,1,simple,단순한
147,1,1,promise,약속하다
148,1,1,assure,보증하다
149,1,1,lay,"놓다, 눕히다"
150,1,1,put,"놓다, 두다"
151,1,1,have,가지다
152,1,1,own,소유하다
153,1,1,strong,강한
154,1,1,powerful,강력한
155,1,1,beg,구걸하다
156,1,1,implore,애원하다
157,1,1,worth,가치 있는
158,1,1,valuable,귀중한
159,1,1,soon,곧
160,1,1,shortly,곧
161,1,1,individual,개인적인
162,1,1,personal,개인의
163,1,1,plan,"계획, 계획하다"
164,1,1,design,"계획, 설계하다"
165,1,1,now,지금
166,1,1,immediate,즉시의
167,1,1,give,주다
168,1,1,supply,공급하다
169,1,1,avenge,복수하다
170,1,1,revenge,복수하다
171,1,1,fast,빠른
172,1,1,swift,빠른
173,1,1,remember,기억하다
174,1,1,recollect,회상하다
175,1,1,think,생각하다
176,1,1,consider,고려하다
177,1,1,heal,낫게 하다
178,1,1,cure,치료하다
179,1,1,answer,대답하다
180,1,1,respond,응답하다
181,1,1,determine,결심하다
182,1,1,decide,결정하다
183,1,1,limit,한계
184,1,1,confine,한정하다
185,1,1,break,"깨다, 부수다"
186,1,1,destroy,파괴하다
187,1,1,pay,보수
188,1,1,wage,임금
189,1,1,hate,혐오하다
190,1,1,despise,경멸하다
191,1,2,look for,찾다
192,1,2,search,찾다
193,1,2,come out,"나타나다, 나오다"
194,1,2,appear,나타나다
195,1,2,same,~과 같은
196,1,2,alike,비슷한
197,1,2,only,"겨우, 유일한"
198,1,2,sole,"유일한, 단독의"
199,1,2,club,클럽
200,1,2,guild,조합
201,1,2,dirty,더러운
202,1,2,stain,얼룩
203,1,2,origin,유래
204,1,2,root,근원
205,1,2,say,말하다
206,1,2,tell,말하다
207,1,2,total,합계
208,1,2,amount,총계
209,1,2,peak,절정
210,1,2,top,꼭대기
211,1,2,doubt,의심하다
212,1,2,distrust,불신하다
213,1,2,bear,낳다
214,1,2,birth,출생
215,1,2,deal,다루다
216,1,2,handle,다루다
217,1,2,last,마지막의 
218,1,2,final,최후의
219,1,2,talk,말하다
220,1,2,speak,말하다
221,1,2,manner,방식
222,1,2,mode,양식
223,1,2,grave,"중대한, 엄숙한"
224,1,2,heavy,무거운
225,1,2,strange,"이상한, 낯선"
226,1,2,unusual,유별난
227,1,2,give up,포기하다
228,1,2,abandon,"버리다, 그만두다"
229,1,2,take,받아들이다
230,1,2,accept,받아들이다
231,1,2,be used to,~에 익숙하다
232,1,2,accustom,익숙해지다
233,1,2,surprise,놀람
234,1,2,amaze,놀라게 하다
235,1,2,expect,기대하다
236,1,2,anticipate,예상하다
237,1,2,reach,도착하다
238,1,2,arrive,도착하다
239,1,2,agree,동의하다
240,1,2,assent,찬성하다
241,1,2,relate,관련시키다
242,1,2,associate,제휴하다
243,1,2,prize,상
244,1,2,award,"상, 수여하다"
245,1,2,animal,동물
246,1,2,beast,짐승
247,1,2,see,보다
248,1,2,behold,바라보다
249,1,2,also,또한
250,1,2,besides,게다가
251,1,2,short,짧은
252,1,2,brief,간결한
253,1,2,wide,넓은
254,1,2,broad,폭이 넓은
255,1,2,catch,잡다
256,1,2,capture,포획하다
257,1,2,throw,던지다
258,1,2,cast,던지다
259,1,2,reason,이유
260,1,2,cause,원인
261,1,2,warn,경고하다
262,1,2,caution,주의
263,1,2,call,전화하다
264,1,2,telephone,전화하다
265,1,2,mount,"오르다, 상승하다"
266,1,2,climb,"오르다, 상승"
267,1,2,hint,힌트
268,1,2,clue,실마리
269,1,2,battle,싸움
270,1,2,combat,"싸우다, 전투"
271,1,2,common,보통의
272,1,2,usual,보통의
273,1,2,friend,친구
274,1,2,companion,동료
275,1,2,end,"끝, 최후"
276,1,2,finish,끝
277,1,2,link,연결하다
278,1,2,connect,연결하다
279,1,2,aware,알고 있는
280,1,2,conscious,자각하고 있는
281,1,2,build,짓다
282,1,2,construct,건설하다
283,1,2,carry,나르다
284,1,2,convey,운반하다
285,1,2,universe,우주
286,1,2,cosmos,우주
287,1,2,price,가격
288,1,2,cost,비용
289,1,2,advise,충고하다
290,1,2,counsel,조언하다
291,1,2,present,현재의
292,1,2,current,현재의
293,1,2,please,기쁘게 하다
294,1,2,delight,기쁨
295,1,2,bring,가져오다
296,1,2,deliver,배달하다
297,1,2,grow,자라다
298,1,2,develop,"개발하다, 발달하다"
299,1,2,hard,"열심히, 어려운"
300,1,2,difficult,"어려운, 힘든"
301,1,2,discuss,논의하다
302,1,2,dispute,논쟁하다
303,1,2,unlike,같지 않은
304,1,2,dissimilar,닮지 않은
305,1,2,zone,구역
306,1,2,district,지역
307,1,2,trouble,"불편, 곤란"
308,1,2,problem,"문제, 곤란한일"
309,1,2,saving,"절약한, 저축"
310,1,2,economical,"경제적인, 알뜰한"
311,1,2,hug,껴안다
312,1,2,embrace,포옹하다
313,1,2,feeling,감정
314,1,2,emotion,감정
315,1,2,cheer,격려하다
316,1,2,encourage,용기를 북돋우다
317,1,2,appeal,간청
318,1,2,entreat,간청하다
319,1,2,respect,존경하다
320,1,2,esteem,존중하다
321,1,2,daily,매일의
322,1,2,everyday,매일의
323,1,2,exclude,제외하다
324,1,2,except,~을 제외하고
325,1,2,trade,거래
326,1,2,exchange,교환하다
327,1,2,practice,연습
328,1,2,exercise,훈련
329,1,2,expert,숙련가
330,1,2,proficient,능숙한
331,1,2,burst,"파열, 폭발"
332,1,2,explosion,폭발
333,1,2,hunger,굶주림
334,1,2,starve,굶어 죽다
335,1,2,fame,명성
336,1,2,renown,명성
337,1,2,fund,자금
338,1,2,finance,"재무, 자금"
339,1,2,luck,행운
340,1,2,fortune,행운
341,1,2,angry,화난
342,1,2,furious,격노한
343,1,2,general,일반적인
344,1,2,thank,감사
345,1,2,gratitude,감사
346,1,2,tomb,무덤
347,1,2,welcome,환영
348,1,2,greet,환영하다
349,1,2,damage,손해
350,1,2,harm,손해
351,1,2,boss,우두머리
352,1,2,head,"머리, 선두에 서다"
353,1,2,secret,비밀의
354,1,2,hidden,숨겨진
355,1,2,man,"남자, 사람"
356,1,2,human,인간
357,1,2,wit,"위트, 재치"
358,1,2,humor,유머
359,1,2,contain,포함하다
360,1,2,include,포함하다
361,1,2,earning,소득
362,1,2,income,수입
363,1,2,growth,"성장, 발전"
364,1,2,increase,증가
365,1,2,casual,격식을 차리지 않는
366,1,2,informal,격식 차리지 않는
367,1,2,first,첫째의
368,1,2,initial,"처음의, 머리글자"
369,1,2,born,"태어난, 타고난"
370,1,2,innate,타고난
371,1,2,travel,여행
372,1,2,journey,여정
373,1,2,work,일
374,1,2,labor,노동
375,1,2,free,자유로운
376,1,2,liberate,자유롭게 하다
377,1,2,hold,유지하다
378,1,2,maintain,유지하다
379,1,2,lord,주인
380,1,2,master,주인
381,1,3,partner,동료
382,1,3,mate,동료
383,1,3,change,바꾸다
384,1,3,modify,변경하다
